encoding_dim, hidden_dim, lr_roc, lr_gmean, rf_roc, rf_gmean, ab_roc, ab_gmean
50,50,0.8172,0.5389,0.8187,0.5003,0.8163,0.5428
50,100,0.8294,0.5555,0.8278,0.4945,0.8232,0.5652
50,150,0.8336,0.5742,0.8319,0.5327,0.8282,0.5920
50,200,0.8262,0.5559,0.8292,0.5373,0.8305,0.5863
50,250,0.8190,0.5185,0.8111,0.4026,0.8211,0.5354
50,300,0.8120,0.5545,0.8275,0.2007,0.8160,0.5940
100,100,0.8415,0.5853,0.8373,0.5055,0.8283,0.5872
100,150,0.8496,0.6129,0.8365,0.4557,0.8455,0.5984
100,200,0.8451,0.5782,0.8336,0.4732,0.8375,0.6022
100,250,0.8400,0.5879,0.8335,0.5342,0.8341,0.5798
100,300,0.8544,0.6068,0.8405,0.5226,0.8420,0.6163
150,150,0.8478,0.6127,0.8354,0.5475,0.8351,0.6049
150,200,0.8474,0.6105,0.8348,0.4926,0.8333,0.5969
150,250,0.8452,0.6061,0.8358,0.5540,0.8401,0.6130
150,300,0.8379,0.5765,0.8405,0.5192,0.8404,0.5716
200,200,0.8624,0.6240,0.8435,0.5215,0.8425,0.6203
200,250,0.8627,0.6382,0.8515,0.5763,0.8559,0.6487
200,300,0.8571,0.6147,0.8455,0.5431,0.8418,0.6083
250,250,0.8623,0.6313,0.8430,0.5407,0.8383,0.6168
250,300,0.8614,0.6239,0.8534,0.5818,0.8516,0.6312
300,300,0.8633,0.6313,0.8456,0.5344,0.8477,0.6229
